;Filename;Dice;Intersection Over Union
0;Position_0001.png;0.9037758397262078;0.8244443823084248
1;Position_0002.png;0.8396122082585145;0.7235617487860184
2;Position_0003.png;0.881490048888426;0.7880931762811072
3;Position_0004.png;0.870738023305987;0.7710682309057902
4;Position_0005.png;0.8948186597430576;0.8096577803121904
5;Position_0006.png;0.8981043861270634;0.815053972299045
6;Position_0007.png;0.900848442496556;0.819585294983546
7;Position_0014.png;0.8724331616997205;0.773730783259421
8;Position_0072.png;0.843572855706766;0.729464775566669
9;Position_0100.png;0.8483277846334273;0.736605246554591
MOYENNE;;0.8753721410585726;0.7791265391256803
