;Filename;Dice;Intersection Over Union
0;Position_0001.png;0.2789144554972467;0.1620572978484271
1;Position_0002.png;0.3331384857803624;0.19985973616107094
2;Position_0003.png;0.583194799896601;0.41162667529883284
3;Position_0004.png;0.5321579193530297;0.3625444051834928
4;Position_0005.png;0.5675710848515727;0.39622985348425155
5;Position_0006.png;0.6862531892898772;0.5223633631935585
6;Position_0007.png;0.7039395495145371;0.5431379085840282
7;Position_0014.png;0.38429984903700626;0.2378534562647413
8;Position_0072.png;0.3840018509262545;0.23762518992137557
9;Position_0100.png;0.5371493409565319;0.3671935698045048
MOYENNE;;0.49906205251030195;0.34404914557442834
