;Filename;Dice;Intersection Over Union
0;Position_0001.png;0.9178256049315658;0.8481309666316021
1;Position_0002.png;0.8956177197642987;0.8109671323384534
2;Position_0003.png;0.8954039273844242;0.8106166232423562
3;Position_0004.png;0.8892002911378514;0.800504623067219
4;Position_0005.png;0.9058300090170496;0.8278695517366654
5;Position_0006.png;0.9052044784692534;0.8268251665402877
6;Position_0007.png;0.9084092199078664;0.8321884422174346
7;Position_0014.png;0.8809805674705823;0.7872790704531866
8;Position_0072.png;0.8566224445410869;0.7492034909073185
9;Position_0100.png;0.8569464003694462;0.7496992372684649
MOYENNE;;0.8912040662993425;0.8043284304402988
