;Filename;Dice;Intersection Over Union
0;Position_0001.png;0.35103536509187255;0.21288229847396578
1;Position_0002.png;0.48206217793732625;0.317577035178988
2;Position_0003.png;0.5109739131438658;0.34315982274896534
3;Position_0004.png;0.5229283558028082;0.35403047145878586
4;Position_0005.png;0.6011057803511263;0.4297006777903181
5;Position_0006.png;0.6297220450230174;0.4595578995039612
6;Position_0007.png;0.5896473949749932;0.41808509941247785
7;Position_0014.png;0.4601905967736379;0.298862061244402
8;Position_0072.png;0.4694215437707457;0.3066955223144932
9;Position_0100.png;0.6055797450308058;0.4342878388469755
MOYENNE;;0.5222666917900198;0.3574838726973333
