;Filename;Dice;Intersection Over Union
0;Position_0001.png;0.2929254686220234;0.1715950184414732
1;Position_0002.png;0.3952257452571697;0.24628122001387254
2;Position_0003.png;0.431502424018584;0.27510558276353847
3;Position_0004.png;0.4732416520605762;0.3099650104856955
4;Position_0005.png;0.5359158879817152;0.3660417446124635
5;Position_0006.png;0.6253482008595075;0.45491390255847597
6;Position_0007.png;0.551874032610239;0.3810953325326065
7;Position_0014.png;0.32888773320012127;0.19680769296311665
8;Position_0072.png;0.3539378600372058;0.21502096907825868
9;Position_0100.png;0.4932619408564235;0.32737074166970836
MOYENNE;;0.44821209455035654;0.2944197215119209
