;Filename;Dice;Intersection Over Union
0;Position_0001.png;0.9144298530437226;0.842349862386465
1;Position_0002.png;0.8994627568269419;0.817294256429724
2;Position_0003.png;0.8867003243170833;0.7964615052152824
3;Position_0004.png;0.8803619208163741;0.7862915243599836
4;Position_0005.png;0.8924170620978238;0.8057338576052439
5;Position_0006.png;0.9018577979298463;0.8212577635311262
6;Position_0007.png;0.8940166698830099;0.8083455298085616
7;Position_0014.png;0.8709026703468565;0.7713264913179858
8;Position_0072.png;0.8499758494372524;0.7390939229594458
9;Position_0100.png;0.8338528587152089;0.7150494486124691
MOYENNE;;0.882397776341412;0.7903204162226287
